title,author,isbn,call_number,call_prefix,subjects,summary,series,reading_level,ol_summary,ol_subjects,ol_pages,gb_summary,gb_categories,gb_pages,gb_rating,enriched_summary,enriched_subjects,pages
Copyboy,"Vawter, Vince.",9781630791056,F,FIC,Automobile travel -- Fiction. | Interpersonal relations -- Fiction. | Speech disorders -- Fiction. | Press -- Fiction. -- Employees | Self-esteem -- Fiction. | Family life -- Fiction.,"Newspaper copyboy Victor Vollmer sets out from Memphis to spread the ashes of Mr. Spiro, his friend and mentor, at the mouth of the Mississippi River, and with the help of new friend Philomene he may meet the challenge.",,Young Adult,,"Families|Fiction|Interpersonal relations|Automobile travel|Newspaper employees|Self-esteem|Stuttering|History|Children's fiction|Automobile travel, fiction|Interpersonal relations, fiction|Family life, fiction|Tennessee, fiction",240,,,,,"Newspaper copyboy Victor Vollmer sets out from Memphis to spread the ashes of Mr. Spiro, his friend and mentor, at the mouth of the Mississippi River, and with the help of new friend Philomene he may meet the challenge.","Automobile travel -- Fiction. | Interpersonal relations -- Fiction. | Speech disorders -- Fiction. | Press -- Fiction. -- Employees | Self-esteem -- Fiction. | Family life -- Fiction.|Families|Fiction|Interpersonal relations|Automobile travel|Newspaper employees|Self-esteem|Stuttering|History|Children's fiction|Automobile travel, fiction|Interpersonal relations, fiction|Family life, fiction|Tennessee, fiction",240
Courting darkness,"LaFevers, Robin.",9780544991194,F,FIC,Assassins -- Fiction. | Courts and courtiers -- Fiction. | Kings and rulers -- Fiction.,"""When Sybella discovers there is another trained assassin from St. Mortain's convent deep undercover in the French court, she must use every skill in her arsenal to navigate the deadly royal politics and find her sister-in-arms before her time--and that of the newly crowned queen--runs out""--Provided by publisher.",,Young Adult,,"Children's fiction|Criminals, fiction|Courts and courtiers, fiction|Kings, queens, rulers, etc., fiction|France, history, fiction",512,,,,,"""When Sybella discovers there is another trained assassin from St. Mortain's convent deep undercover in the French court, she must use every skill in her arsenal to navigate the deadly royal politics and find her sister-in-arms before her time--and that of the newly crowned queen--runs out""--Provided by publisher.","Assassins -- Fiction. | Courts and courtiers -- Fiction. | Kings and rulers -- Fiction.|Children's fiction|Criminals, fiction|Courts and courtiers, fiction|Kings, queens, rulers, etc., fiction|France, history, fiction",512
Zora and me.,"Simon, T. R. (Tanya R.)",9780763643010,F,FIC,African Americans -- Fiction.,"""When Zora Neale Hurston and her best friend, Carrie Brown, discover that the town mute can speak after all, they think they've uncovered a big secret. But Mr. Polk's silence is just one piece of a larger puzzle that stretches back half a century to the tragic story of an enslaved girl named Lucia. As Zora's curiosity leads a reluctant Carrie deeper into the mystery, the story unfolds through alternating narratives. Lucia's struggle for freedom resonates through the years, threatening the future of America's first incorporated black township--the hometown of author Zora Neale Hurston""--Publisher provided.",,5.3.,,"Race relations|Juvenile fiction|African Americans|Childhood and youth|History|Children's fiction|Florida, fiction|Mystery and detective stories|African americans, fiction|Race relations, fiction|Slavery, fiction",250,,,,,"""When Zora Neale Hurston and her best friend, Carrie Brown, discover that the town mute can speak after all, they think they've uncovered a big secret. But Mr. Polk's silence is just one piece of a larger puzzle that stretches back half a century to the tragic story of an enslaved girl named Lucia. As Zora's curiosity leads a reluctant Carrie deeper into the mystery, the story unfolds through alternating narratives. Lucia's struggle for freedom resonates through the years, threatening the future of America's first incorporated black township--the hometown of author Zora Neale Hurston""--Publisher provided.","African Americans -- Fiction.|Race relations|Juvenile fiction|African Americans|Childhood and youth|History|Children's fiction|Florida, fiction|Mystery and detective stories|African americans, fiction|Race relations, fiction|Slavery, fiction",250
Dragon Pearl,"Lee, Yoon Ha 1979-",9781368013352,F,FIC,Imaginary voyages -- Fiction. | Magic -- Fiction. | Siblings -- Fiction. | Science fiction. | Adventure fiction.,"Min, a thirteen-year-old girl with fox-magic, stows away on a battle cruiser and impersonates a cadet in order to solve the mystery of what happened to her older brother in the Thousand World Space Forces.",,780,,"Children's fiction|Science fiction|Adventure and adventurers, fiction|Magic, fiction|Brothers and sisters, fiction|Space flight, fiction|nyt:childrens-middle-grade-hardcover=2019-02-03|New York Times bestseller",320,,,,,"Min, a thirteen-year-old girl with fox-magic, stows away on a battle cruiser and impersonates a cadet in order to solve the mystery of what happened to her older brother in the Thousand World Space Forces.","Imaginary voyages -- Fiction. | Magic -- Fiction. | Siblings -- Fiction. | Science fiction. | Adventure fiction.|Children's fiction|Science fiction|Adventure and adventurers, fiction|Magic, fiction|Brothers and sisters, fiction|Space flight, fiction|nyt:childrens-middle-grade-hardcover=2019-02-03|New York Times bestseller",320
The echo room,"Peevyhouse, Parker.",9780765399397,F,FIC,Survival skills -- Fiction. | Memory -- Fiction. | Time travel. | Science fiction.,"""Rett Ward knows how to hide. He's had six years of practice at Walling Home, the state-run boarding school where he learned how to keep his head down to survive. But when Rett wakes up locked in a small depot with no memory of how he got there, he can't hide. Not from the stranger in the next room. Or from the fact that there's someone else's blood on his jumpsuit. Worse, every time he tries to escape, he wakes up right back where he started. Same day, same stranger, same bloodstained jumpsuit. As memories start to surface, Rett realizes that the logo on the walls is familiar, the stranger isn't a stranger, and the blood on his jumpsuit belongs to someone--or something--banging on the door to get in""--Provided by publisher.",,Young Adult,,"Survival|Memory|Time travel|Fiction|Children's fiction|Adventure and adventurers, fiction",318,,,,,"""Rett Ward knows how to hide. He's had six years of practice at Walling Home, the state-run boarding school where he learned how to keep his head down to survive. But when Rett wakes up locked in a small depot with no memory of how he got there, he can't hide. Not from the stranger in the next room. Or from the fact that there's someone else's blood on his jumpsuit. Worse, every time he tries to escape, he wakes up right back where he started. Same day, same stranger, same bloodstained jumpsuit. As memories start to surface, Rett realizes that the logo on the walls is familiar, the stranger isn't a stranger, and the blood on his jumpsuit belongs to someone--or something--banging on the door to get in""--Provided by publisher.","Survival skills -- Fiction. | Memory -- Fiction. | Time travel. | Science fiction.|Survival|Memory|Time travel|Fiction|Children's fiction|Adventure and adventurers, fiction",318
Game of stars,"DasGupta, Sayantani.",9781338185737,F,FIC,East Indian Americans -- Fiction. | Princesses -- Fiction. | Magic -- Fiction. | Voyages and travels -- Fiction. | Adventure fiction. | Fantasy fiction. | Adventure fiction.,"""Months after Kiranmala's adventure in the Kingdom Beyond, a vision of the Demon Queen starts showing up in her bedroom, trying to tell Kiran something, but getting cutoff before she can finish; then she starts seeing an advertisement for an archery contest on her family's interdimensional television and Kiran realizes that she must return to her place of birth--where society is falling apart, a reality show is taking over, her friends are in danger, and she, once again, becomes the warrior princess she was meant to be""--Provided by publisher.",Kiranmala and the kingdom beyond,5.0.,,"Children's fiction|Princesses, fiction|Magic, fiction|Adventure and adventurers, fiction|Fantasy fiction|nyt:childrens-middle-grade-hardcover=2019-03-17|New York Times bestseller",,,,,,"""Months after Kiranmala's adventure in the Kingdom Beyond, a vision of the Demon Queen starts showing up in her bedroom, trying to tell Kiran something, but getting cutoff before she can finish; then she starts seeing an advertisement for an archery contest on her family's interdimensional television and Kiran realizes that she must return to her place of birth--where society is falling apart, a reality show is taking over, her friends are in danger, and she, once again, becomes the warrior princess she was meant to be""--Provided by publisher.","East Indian Americans -- Fiction. | Princesses -- Fiction. | Magic -- Fiction. | Voyages and travels -- Fiction. | Adventure fiction. | Fantasy fiction. | Adventure fiction.|Children's fiction|Princesses, fiction|Magic, fiction|Adventure and adventurers, fiction|Fantasy fiction|nyt:childrens-middle-grade-hardcover=2019-03-17|New York Times bestseller",
The house that Lou built,"Respicio, Mae.",9781524717957,F,FIC,Home -- Fiction. | Family life -- Fiction. -- California | Filipino Americans -- Fiction. | Building -- Fiction. | Moving -- Fiction. | Bildungsromans.,"Longing for an escape from her extended Filipino family, Lou plans to build a tiny house on land she inherited from her father, but difficulties quickly arise.",,5.0.,,"Building|Filipino Americans|Coming of age|Household Moving|Home|Family life|Fiction|Children's fiction|Home, fiction|Family life, fiction|Moving, household, fiction|California, fiction",231,,,,,"Longing for an escape from her extended Filipino family, Lou plans to build a tiny house on land she inherited from her father, but difficulties quickly arise.","Home -- Fiction. | Family life -- Fiction. -- California | Filipino Americans -- Fiction. | Building -- Fiction. | Moving -- Fiction. | Bildungsromans.|Building|Filipino Americans|Coming of age|Household Moving|Home|Family life|Fiction|Children's fiction|Home, fiction|Family life, fiction|Moving, household, fiction|California, fiction",231
Inventing Victoria,"Bolden, Tonya.",9781681198071,F,FIC,"Identity -- Fiction. | African Americans -- Fiction. | Reconstruction (U.S. history, 1865-1877) -- Fiction.","Essie, a young black woman in 1880s Savannah, is offered the opportunity to leave her shameful past and be transformed into an educated, high-society woman in Washington, D.C.",,Young Adult,,"Children's fiction|Identity, fiction|African americans, fiction|Reconstruction (u.s. history, 1865-1877), fiction|Georgia, fiction|Washington (d.c.), fiction",272,,,,,"Essie, a young black woman in 1880s Savannah, is offered the opportunity to leave her shameful past and be transformed into an educated, high-society woman in Washington, D.C.","Identity -- Fiction. | African Americans -- Fiction. | Reconstruction (U.S. history, 1865-1877) -- Fiction.|Children's fiction|Identity, fiction|African americans, fiction|Reconstruction (u.s. history, 1865-1877), fiction|Georgia, fiction|Washington (d.c.), fiction",272
The jigsaw jungle,"Levine, Kristin (Kristin Sims) 1974-",9780399174520,F,FIC,Mystery fiction. | Domestic fiction. | Scrapbooks -- Fiction. | Family life -- Fiction. | Jigsaw puzzles -- Fiction. | Secrecy -- Fiction. | Missing persons -- Fiction.,"Claudia Dalton, twelve, embarks on an unexpected treasure hunt that she hopes will bring her missing father home and heal whatever is wrong with her family. Told through notes, emails, audio and video transcripts, and more from Claudia's scrapbook.",,HL 530,,"Jigsaw puzzles|Missing persons|Secrets|Scrapbooks|Family problems|Mystery and detective stories|Fiction|Children's fiction|Missing persons, fiction",357,,,,,"Claudia Dalton, twelve, embarks on an unexpected treasure hunt that she hopes will bring her missing father home and heal whatever is wrong with her family. Told through notes, emails, audio and video transcripts, and more from Claudia's scrapbook.","Mystery fiction. | Domestic fiction. | Scrapbooks -- Fiction. | Family life -- Fiction. | Jigsaw puzzles -- Fiction. | Secrecy -- Fiction. | Missing persons -- Fiction.|Jigsaw puzzles|Missing persons|Secrets|Scrapbooks|Family problems|Mystery and detective stories|Fiction|Children's fiction|Missing persons, fiction",357
Listen to your heart,"West, Kasie.",9781338210057,F,FIC,Social media -- Fiction. | Infatuation -- Fiction. | Interpersonal relations -- Fiction. | Friendship -- Fiction. | High schools -- Fiction. | School stories.,"When Kate Bailey lets her best friend, Alana, talk her into joining their high school's podcast she did not expect to find herself as the host, or to enjoy answering calls and giving advice on the air, but she is actually pretty good at it--but when she gets an anonymous call from a boy (possibly Diego Martinez) about his secret feelings for a girl (probably Alana) she is faced with a problem, because she is developing feelings for Diego herself.",,Young Adult,,"Social media|Interpersonal relations|Infatuation|High schools|Best friends|Fiction|Podcasts|Children's fiction|Interpersonal relations, fiction|Friendship, fiction|Schools, fiction",329,,,,,"When Kate Bailey lets her best friend, Alana, talk her into joining their high school's podcast she did not expect to find herself as the host, or to enjoy answering calls and giving advice on the air, but she is actually pretty good at it--but when she gets an anonymous call from a boy (possibly Diego Martinez) about his secret feelings for a girl (probably Alana) she is faced with a problem, because she is developing feelings for Diego herself.","Social media -- Fiction. | Infatuation -- Fiction. | Interpersonal relations -- Fiction. | Friendship -- Fiction. | High schools -- Fiction. | School stories.|Social media|Interpersonal relations|Infatuation|High schools|Best friends|Fiction|Podcasts|Children's fiction|Interpersonal relations, fiction|Friendship, fiction|Schools, fiction",329
Love like sky,"Youngblood, Leslie C.",9781368016506,F,FIC,Sisters -- Fiction. | Stepfamilies -- Fiction. | Sick -- Fiction. | African Americans -- Fiction. | Family life -- Fiction. -- Georgia,"Eleven-year-old Georgie is still adjusting to leaving Atlanta for a small town, having a stepfather, and being unable to get close to her stepsister when her six-year-old sister, Peaches, suddenly becomes very ill.",,4.6.,,"Sick|Stepfamilies|Sisters|African Americans|Family life|Fiction|Children's fiction|Sisters, fiction|Stepfamilies, fiction|Sick, fiction|African americans, fiction|Family life, fiction|Georgia, fiction",296,,,,,"Eleven-year-old Georgie is still adjusting to leaving Atlanta for a small town, having a stepfather, and being unable to get close to her stepsister when her six-year-old sister, Peaches, suddenly becomes very ill.","Sisters -- Fiction. | Stepfamilies -- Fiction. | Sick -- Fiction. | African Americans -- Fiction. | Family life -- Fiction. -- Georgia|Sick|Stepfamilies|Sisters|African Americans|Family life|Fiction|Children's fiction|Sisters, fiction|Stepfamilies, fiction|Sick, fiction|African americans, fiction|Family life, fiction|Georgia, fiction",296
The moon within,"Salazar, Aida.",9781338283372,F,FIC,Racially mixed people -- Fiction. | Family life -- Fiction. | Puberty -- Fiction. | Mother-daughter relationship -- Fiction. | Transgender people -- Fiction. | Life change events -- Fiction. | Friendship -- Fiction.,"""Eleven-year-old (nearly twelve) Celi Rivera, who is a mix of Black-Puerto Rican-Indigenous Mexican is secretive about her approaching period, and the changes that are happening to her body. She is horrified that her mother wants to hold a traditional public moon ceremony to celebrate the occasion. She must choose loyalty to her life-long best friend who is contemplating an even more profound change of life or the boy she likes""--Provided by publisher.",,6.9.,,"Children's fiction|Racially mixed people, fiction|Mothers and daughters, fiction|Friendship, fiction|Racially mixed children|Juvenile fiction|Racially mixed families|Puberty|Rites and ceremonies|Menstrual cycle|Mothers and daughters|Transgender children|Life change events|Best friends|Novels in verse|Racially mixed people|Fiction|Transgender people|Friendship|General",240,,,,,"""Eleven-year-old (nearly twelve) Celi Rivera, who is a mix of Black-Puerto Rican-Indigenous Mexican is secretive about her approaching period, and the changes that are happening to her body. She is horrified that her mother wants to hold a traditional public moon ceremony to celebrate the occasion. She must choose loyalty to her life-long best friend who is contemplating an even more profound change of life or the boy she likes""--Provided by publisher.","Racially mixed people -- Fiction. | Family life -- Fiction. | Puberty -- Fiction. | Mother-daughter relationship -- Fiction. | Transgender people -- Fiction. | Life change events -- Fiction. | Friendship -- Fiction.|Children's fiction|Racially mixed people, fiction|Mothers and daughters, fiction|Friendship, fiction|Racially mixed children|Juvenile fiction|Racially mixed families|Puberty|Rites and ceremonies|Menstrual cycle|Mothers and daughters|Transgender children|Life change events|Best friends|Novels in verse|Racially mixed people|Fiction|Transgender people|Friendship|General",240
Honus and me  a baseball card adventure,"Gutman, Dan",0380788780 (pbk),F Gut,FIC,Fantasy fiction | Baseball -- Fiction | Baseball cards -- Fiction,"Joey, who loves baseball but is not very good at it, finds a valuable 1909 Honus Wagner card and travels back in time to meet Honus.",,4.1,,"Wagner, Honus, in fiction|Baseball cards in fiction|Fiction|Universalism|Baseball|Baseball in fiction|Atonement|Time travel in fiction|Baseball cards|Juvenile fiction|Time travel|Baseball stories|Children's fiction|Baseball, fiction|Time travel, fiction",144,,,,,"Joey, who loves baseball but is not very good at it, finds a valuable 1909 Honus Wagner card and travels back in time to meet Honus.","Fantasy fiction | Baseball -- Fiction | Baseball cards -- Fiction|Wagner, Honus, in fiction|Baseball cards in fiction|Fiction|Universalism|Baseball|Baseball in fiction|Atonement|Time travel in fiction|Baseball cards|Juvenile fiction|Time travel|Baseball stories|Children's fiction|Baseball, fiction|Time travel, fiction",144
On the come up,"Thomas, Angie.",9780062498564,F,FIC,Singers -- Fiction. | Rap music -- Fiction. | African Americans -- Fiction. | Single-parent families -- Fiction.,"""Sixteen-year-old Bri hopes to become a great rapper, and after her first song goes viral for all the wrong reasons, must decide whether to sell out or face eviction with her widowed mother""--Provided by publisher.",,HL 550,,"African American young adult fiction|people & places|young adult fiction|social themes|Homelessness & Poverty|performing arts|music|Children's fiction|Rap (music), fiction|African americans, fiction|nyt:young-adult-hardcover=2019-02-24|New York Times bestseller|New York Times reviewed|Young adult fiction, performing arts, music|Young adult fiction, social themes, homelessness & poverty|Young adult fiction, people & places, united states, african american & black|Rap musicians|Juvenile fiction|African Americans|Freedom of speech",447,,,,,"""Sixteen-year-old Bri hopes to become a great rapper, and after her first song goes viral for all the wrong reasons, must decide whether to sell out or face eviction with her widowed mother""--Provided by publisher.","Singers -- Fiction. | Rap music -- Fiction. | African Americans -- Fiction. | Single-parent families -- Fiction.|African American young adult fiction|people & places|young adult fiction|social themes|Homelessness & Poverty|performing arts|music|Children's fiction|Rap (music), fiction|African americans, fiction|nyt:young-adult-hardcover=2019-02-24|New York Times bestseller|New York Times reviewed|Young adult fiction, performing arts, music|Young adult fiction, social themes, homelessness & poverty|Young adult fiction, people & places, united states, african american & black|Rap musicians|Juvenile fiction|African Americans|Freedom of speech",447
The Parker inheritance,"Johnson, Varian.",9780545946179,F,FIC,African Americans -- Fiction. | Buried treasure -- Fiction. | Grandmothers -- Fiction. | Mother-daughter relationship -- Fiction. | Friendship -- Fiction. | Mystery fiction.,"Twelve-year-old Candice Miller is spending the summer in Lambert, South Carolina, in the old house that belonged to her grandmother, who died after being dismissed as city manager for having the city tennis courts dug up looking for buried treasure--but when she finds the letter that sent her grandmother on the treasure hunt, she finds herself caught up in the mystery and, with the help of her new friend and fellow book-worm, Brandon, she sets out to find the inheritance, exonerate her grandmother, and expose an injustice once committed against an African American family in Lambert.",,5.9.,,"Detective and mystery stories|Buried treasure|Friendship|Juvenile fiction|Grandmothers|Fiction|Treasure troves|African American girls|Mothers and daughters|African Americans|Mystery and detective stories|Children's fiction|African americans, fiction|Buried treasure, fiction|Grandparents, fiction|Mothers and daughters, fiction|Friendship, fiction|South carolina, fiction",331,,,,,"Twelve-year-old Candice Miller is spending the summer in Lambert, South Carolina, in the old house that belonged to her grandmother, who died after being dismissed as city manager for having the city tennis courts dug up looking for buried treasure--but when she finds the letter that sent her grandmother on the treasure hunt, she finds herself caught up in the mystery and, with the help of her new friend and fellow book-worm, Brandon, she sets out to find the inheritance, exonerate her grandmother, and expose an injustice once committed against an African American family in Lambert.","African Americans -- Fiction. | Buried treasure -- Fiction. | Grandmothers -- Fiction. | Mother-daughter relationship -- Fiction. | Friendship -- Fiction. | Mystery fiction.|Detective and mystery stories|Buried treasure|Friendship|Juvenile fiction|Grandmothers|Fiction|Treasure troves|African American girls|Mothers and daughters|African Americans|Mystery and detective stories|Children's fiction|African americans, fiction|Buried treasure, fiction|Grandparents, fiction|Mothers and daughters, fiction|Friendship, fiction|South carolina, fiction",331
"Pay attention, Carter Jones","Schmidt, Gary D.",9780544790858,F,FIC,Butlers -- Fiction. | Family life -- Fiction. | Conduct of life -- Fiction. | Middle schools -- Fiction. | School stories.,"Sixth-grader Carter must adjust to the unwelcome presence of a know-it-all butler who is determined to help him become a gentleman, and also to deal with burdens from the past.",,840,,"Children's fiction|Family life, fiction|Conduct of life, fiction|Schools, fiction",224,,,,,"Sixth-grader Carter must adjust to the unwelcome presence of a know-it-all butler who is determined to help him become a gentleman, and also to deal with burdens from the past.","Butlers -- Fiction. | Family life -- Fiction. | Conduct of life -- Fiction. | Middle schools -- Fiction. | School stories.|Children's fiction|Family life, fiction|Conduct of life, fiction|Schools, fiction",224
The science of breakable things,"Keller, Tae.",9781524715670,F,FIC,Middle schools -- Fiction. | School stories. | Friendship -- Fiction. | Family life -- Fiction. | Science -- Fiction. -- Methodology | Depression (Psychology) -- Fiction. | Racially mixed people -- Fiction.,Middle schooler Natalie's year-long assignment to answer a question using the scientific process leads to truths about her mother's depression and her own cultural identity.,,5.8.,,"Middle schools|Mental Depression|Science|Family problems|Fiction|Racially mixed people|Methodology|Schools|Friendship|Children's fiction|Schools, fiction|Friendship, fiction|Depression, mental, fiction|Racially mixed people, fiction",297,,,,,Middle schooler Natalie's year-long assignment to answer a question using the scientific process leads to truths about her mother's depression and her own cultural identity.,"Middle schools -- Fiction. | School stories. | Friendship -- Fiction. | Family life -- Fiction. | Science -- Fiction. -- Methodology | Depression (Psychology) -- Fiction. | Racially mixed people -- Fiction.|Middle schools|Mental Depression|Science|Family problems|Fiction|Racially mixed people|Methodology|Schools|Friendship|Children's fiction|Schools, fiction|Friendship, fiction|Depression, mental, fiction|Racially mixed people, fiction",297
The Storm Keeper's Island,"Doyle, Catherine 1990-",9781681199597,F,FIC,Siblings -- Fiction. | Grandfathers -- Fiction. | Islands -- Fiction. | Paranormal fiction.,"Fionn Boyle, terrified of the sea, must spend the summer with this older sister, Tara, and their grandfather on Arranmore, an island that has been known to make people disappear, and seems to be restless again.",,6.0.,,"Children's fiction|Brothers and sisters, fiction|Grandparents, fiction|Islands, fiction|Supernatural, fiction|Ireland, fiction",320,,,,,"Fionn Boyle, terrified of the sea, must spend the summer with this older sister, Tara, and their grandfather on Arranmore, an island that has been known to make people disappear, and seems to be restless again.","Siblings -- Fiction. | Grandfathers -- Fiction. | Islands -- Fiction. | Paranormal fiction.|Children's fiction|Brothers and sisters, fiction|Grandparents, fiction|Islands, fiction|Supernatural, fiction|Ireland, fiction",320
Truly devious,"Johnson, Maureen 1973-",9780062338051,F,FIC,Homicide -- Fiction. | Criminal investigation -- Fiction. | Private schools -- Fiction. | Mystery fiction.,"New at Ellingham Academy, Stevie Bell tries to both solve a murder at campus and the cold case of a double kidnapping.",,Young Adult,,"Schools|Mystery and detective stories|Fiction|Cold cases (Criminal investigation)|Boarding schools|Children's fiction|Vermont, fiction|Boarding schools, fiction|Kidnapping victims|Private schools|Riddles",432,,,,,"New at Ellingham Academy, Stevie Bell tries to both solve a murder at campus and the cold case of a double kidnapping.","Homicide -- Fiction. | Criminal investigation -- Fiction. | Private schools -- Fiction. | Mystery fiction.|Schools|Mystery and detective stories|Fiction|Cold cases (Criminal investigation)|Boarding schools|Children's fiction|Vermont, fiction|Boarding schools, fiction|Kidnapping victims|Private schools|Riddles",432
Two can keep a secret,"McManus, Karen M.",9781524714734,F,FIC,Homicide -- Fiction. | Missing persons -- Fiction. | Community life -- Fiction. -- Vermont | Siblings -- Fiction. | Twins -- Fiction. | Moving -- Fiction. | Grandmothers -- Fiction. | Mystery fiction.,"""While true-crime afficionado Ellery and her twin brother are staying with their grandmother in a Vermont community known for murder, a new friend goes missing and Ellery may be next""--Provided by publisher.",,Young Adult,,"Children's fiction|Murder, fiction|Missing persons, fiction|Community life, fiction|Vermont, fiction|Brothers and sisters, fiction|Twins, fiction|Moving, household, fiction|Grandparents, fiction|Mystery and detective stories|nyt:young-adult-hardcover=2019-01-27|New York Times bestseller|Murder|Fiction|Missing persons|Community life|Brothers and sisters|Twins|Household Moving|Grandmothers",336,,,,,"""While true-crime afficionado Ellery and her twin brother are staying with their grandmother in a Vermont community known for murder, a new friend goes missing and Ellery may be next""--Provided by publisher.","Homicide -- Fiction. | Missing persons -- Fiction. | Community life -- Fiction. -- Vermont | Siblings -- Fiction. | Twins -- Fiction. | Moving -- Fiction. | Grandmothers -- Fiction. | Mystery fiction.|Children's fiction|Murder, fiction|Missing persons, fiction|Community life, fiction|Vermont, fiction|Brothers and sisters, fiction|Twins, fiction|Moving, household, fiction|Grandparents, fiction|Mystery and detective stories|nyt:young-adult-hardcover=2019-01-27|New York Times bestseller|Murder|Fiction|Missing persons|Community life|Brothers and sisters|Twins|Household Moving|Grandmothers",336
We set the dark on fire,"Mejia, Tehlor Kay.",9780062691316,F,FIC,Social classes -- Fiction. | Secrecy -- Fiction. | Marriage -- Fiction. | Dystopian fiction.,"""Dani must question everything she's worked for as she learns about the corruption of the Median government""--Provided by publisher.",,Young Adult,,"Children's fiction|Marriage, fiction|Social classes|Fiction|Secrets|Marriage|Dystopias|Juvenile fiction",384,,,,,"""Dani must question everything she's worked for as she learns about the corruption of the Median government""--Provided by publisher.","Social classes -- Fiction. | Secrecy -- Fiction. | Marriage -- Fiction. | Dystopian fiction.|Children's fiction|Marriage, fiction|Social classes|Fiction|Secrets|Marriage|Dystopias|Juvenile fiction",384
A wrinkle in time,"L'Engle, Madeleine.",9780374308032,F,FIC,Space and time -- Fiction. | Siblings -- Fiction. | Missing persons -- Fiction. | Extraterrestrial beings -- Fiction. | Gifted children -- Fiction. | Friendship -- Fiction. | Time travel -- Fiction. | Science fiction.,"Meg Murry, her brother Charles, and their friend Calvin, embark on a journey through space and time, assisted by three otherworldly women, when they set out to find Meg's father, a physicist who disappeared while experimenting with time travel.",,4.7.,,"Love|sci-fi|Newbery Medal|Open Library Staff Picks|Juvenile fiction|Space and time|Fiction|Science fiction|Friendship in adolesce|Time travel|Murry family (Fictitious character)|Brothers and sisters|Extraterrestrial beings|Friendship|Science Fiction, Fantasy, & Magic|Classics|Spanish: Young Adult (Gr. 10-12)|Juvenile Fiction - Classics|Văn học Mĩ|Tiểu thuyết",240,,,,,"Meg Murry, her brother Charles, and their friend Calvin, embark on a journey through space and time, assisted by three otherworldly women, when they set out to find Meg's father, a physicist who disappeared while experimenting with time travel.","Space and time -- Fiction. | Siblings -- Fiction. | Missing persons -- Fiction. | Extraterrestrial beings -- Fiction. | Gifted children -- Fiction. | Friendship -- Fiction. | Time travel -- Fiction. | Science fiction.|Love|sci-fi|Newbery Medal|Open Library Staff Picks|Juvenile fiction|Space and time|Fiction|Science fiction|Friendship in adolesce|Time travel|Murry family (Fictitious character)|Brothers and sisters|Extraterrestrial beings|Friendship|Science Fiction, Fantasy, & Magic|Classics|Spanish: Young Adult (Gr. 10-12)|Juvenile Fiction - Classics|Văn học Mĩ|Tiểu thuyết",240
Chula the fox,"Perry, Anthony (Anthony J.)",9781935684619,F,FIC,Chickasaw Indians -- Fiction. | Boys -- Fiction. | Revenge -- Fiction. | Uncles -- Fiction. | Individuality -- Fiction. | Adventure fiction. | Adventure fiction. | Bildungsromans.,"""After a surprise attack on a hunting party leaves Chula, a Chickasaw boy living in the Homeland during the turbulent eighteenth century, without his beloved father, Chula finds himself thrust into the challenging world of a Chickasaw warrior. Haunted by his father's restless spirit, Chula looks to his Uncle Lheotubby to help him become a warrior. Despite his youth, he is determined to join the men who seek retaliation, as he vows to avenge his father. Young Chula is soon faced with the difficulties and confusions of warfare and manhood. Is he destined for the path of the warrior? Or does a different future await him?""--Provided by publisher.",,4.6.,,,160,,,,,"""After a surprise attack on a hunting party leaves Chula, a Chickasaw boy living in the Homeland during the turbulent eighteenth century, without his beloved father, Chula finds himself thrust into the challenging world of a Chickasaw warrior. Haunted by his father's restless spirit, Chula looks to his Uncle Lheotubby to help him become a warrior. Despite his youth, he is determined to join the men who seek retaliation, as he vows to avenge his father. Young Chula is soon faced with the difficulties and confusions of warfare and manhood. Is he destined for the path of the warrior? Or does a different future await him?""--Provided by publisher.",Chickasaw Indians -- Fiction. | Boys -- Fiction. | Revenge -- Fiction. | Uncles -- Fiction. | Individuality -- Fiction. | Adventure fiction. | Adventure fiction. | Bildungsromans.,160
Cogheart,"Bunzl, Peter.",9781631632877 (pbk),F,FIC,Missing persons -- Fiction. | Clock and watch makers -- Fiction. | Father-daughter relationship -- Fiction. | Inventions -- Fiction. | Steampunk fiction.,"""When her father goes missing, thirteen-year-old Lily Hartman must team up with a clockmaker's son, Robert, and her mechanimal fox, Malkin, to solve the mystery of her father's disappearance and his world-changing invention, a perpetual motion machine called the Cogheart""--Provided by publisher.",Cogheart adventure,5.7.,,"Children's fiction|Missing persons, fiction|Clocks and watches, fiction|Fathers and daughters, fiction|Science fiction|London (england), fiction",368,,,,,"""When her father goes missing, thirteen-year-old Lily Hartman must team up with a clockmaker's son, Robert, and her mechanimal fox, Malkin, to solve the mystery of her father's disappearance and his world-changing invention, a perpetual motion machine called the Cogheart""--Provided by publisher.","Missing persons -- Fiction. | Clock and watch makers -- Fiction. | Father-daughter relationship -- Fiction. | Inventions -- Fiction. | Steampunk fiction.|Children's fiction|Missing persons, fiction|Clocks and watches, fiction|Fathers and daughters, fiction|Science fiction|London (england), fiction",368
