title,author,isbn,call_number,call_prefix,subjects,summary,series,reading_level
Quidditch through the ages,"Whisp, Kennilworthy.",9781338125740,F,FIC,Sports -- Fiction. | Games -- Fiction. | Fantasy fiction.,"A copy of a book from the library at Hogwarts, the school where Harry Potter and other young wizards receive their training, providing information about history and conduct of Quidditch, a sport played by competing teams on flying brooms.",,5-8
The secret of Nightingale Wood,"Strange, Lucy.",9781910655030 (pbk),F,FIC,Mental illness -- Fiction. | Imagination -- Fiction. | Grief -- Fiction. | Friendship -- Fiction. | Family secrets -- Fiction. | Books and reading -- Fiction.,"""1919. Mama is ill. Father has taken a job abroad. Nanny Jane is too busy to pay any attention to Henrietta and the things she sees - or thinks she sees - in the shadows of their new home, Hope House. All alone, with only stories for company, Henry discovers that Hope House is full of strange secrets: a forgotten attic, ghostly figures, mysterious firelight that flickers in the trees beyond the garden. One night she ventures into the darkness of Nightingale Wood. What she finds there will change her whole world.""--Provided by publisher.",,730
The serpent's secret,"DasGupta, Sayantani.",9781338277142 (pbk),F,FIC,Voyages and travels -- Fiction. | Princesses -- Fiction. | Missing persons -- Fiction. | Magic -- Fiction. | Fantasy fiction. | East Indian Americans -- Fiction. | Adventure fiction.,"Up until her twelfth birthday, Kiranmala considered herself an ordinary sixth-grader in Parsippany, New Jersey, but then her parents disappear and a drooling rakkhosh demon shows up in her kitchen, and soon she is swept into another dimension, full of magic, winged horses, talking birds (very annoying), and cute princes--and somehow Kiranmala needs to sort it all out, find her parents, and basically save the world.",Kiranmala and the kingdom beyond,730
Sightwitch the true tale of the twelve paladins,"Dennard, Susan.",9781250183521,F,FIC,Witches -- Fiction. | Magic -- Fiction. | Fantasy fiction.,"Set a year before Truthwitch, Sightwitch follows Ryber Fortiza, the last Sightwitch Sister as she treks deep underground to rescue her missing best friend. While there, she encounters a young Nubrevnan named Kullen Ikray, who has no memory of who he is or how he wound up inside the mountain.",Tale of the Witchlands,Young Adult
The sweetest kind of fate,"Cestari, Crystal.",9781484752739,F,FIC,Romance fiction | Magic -- Fiction.,"""Magical matchmaker Amber Sand is back with a new love triangle, a mermaid emergency, and some serious magical mayhem.""--",,Young Adult
The traitor's game,"Nielsen, Jennifer A.",9781338045376,F,FIC,Weapons -- Fiction. | Kidnapping -- Fiction. | Friendship -- Fiction. | Fantasy fiction. | Conspiracies -- Fiction. | Adventure fiction.,"""After three years in exile, Kestra Dallisor has been summoned back to Antora by her father, right-hand man of the seemingly immortal king, Lord Endrick, but she is intercepted and kidnapped by the Coracks who want to use her to get the Olden Blade, which they believe can be used to kill the despot. Simon, one of the rebels with his own grudge against the Dallisors, is assigned to accompany her, but Kestra has her own plans and she does not intend to let anyone get in her way""--Publisher provided.",Traitor's game,Young Adult
The unicorn quest,"Benko, Kamilla.",9781408878316 (pbk),F,FIC,Unicorns -- Fiction. | Sisters -- Fiction. | Magic -- Fiction. | Fantasy fiction. | Adventure fiction.,"In an antique-filled mansion, sisters Claire and Sophie find a ladder to the magical land of Arden, where wraiths roam freely, unicorns have disappeared, and the guilds of magic no longer trust each other.",,3-6
Vanished!,"Ponti, James.",9781481436342 (pbk),F,FIC,School stories. | Private schools -- Fiction. | Practical jokes -- Fiction. | Mystery fiction.,"In Washington, D.C., twelve-year-old Florian Bates, a consulting detective for the FBI, and his best friend Margaret must uncover the truth behind a series of private middle school pranks that may or may not involve the daughter of the President of the United States.",Framed! novel,690
When light left us,"Thomas, Leah 1989-",9781681191812,F,FIC,Loss (Psychology) -- Fiction. | Hispanic Americans -- Fiction. | Family life -- Fiction. | Extraterrestrial beings -- Fiction.,"Not long after Hank, Ana, and Milo Vasquez's father leaves, an alien named Luz arrives and uses them to satisfy his curiosity, then leaves them forever changed.",,Young Adult
Girl in the blue coat,"Hesse, Monica.",9780316260602,F,FIC,"World War, 1939-1945 -- Fiction. -- Underground movements -- Netherlands | Mystery fiction. | Missing children -- Fiction. | Jews -- Fiction. -- Netherlands | Holocaust, 1939-1945 -- Fiction. | Historical fiction. | Black market -- Fiction.","""In 1943 Nazi-occupied Amsterdam, teenage Hanneke--a 'finder' of black market goods--is tasked with finding a Jewish girl a customer had been hiding, who has seemingly vanished into thin air, and is pulled into a web of resistance activities and secrets as she attempts to solve the mystery and save the missing girl""--Provided by Publisher.",,720
Live in infamy,"Richmond, Caroline Tung.",9781338111095,F,FIC,Chinese Americans -- Fiction. | Father-son relationship -- Fiction. | Japanese -- Fiction. | Revolutionaries -- Fiction.,"It has been eighty years since the Axis won World War II, and America was divided between the victors: the Nazis in the East and Imperial Japan in the West; but now resistance is growing in the Eastern territories and sixteen-year-old Chinese American Ren Cabot, who has every reason to hate the Japanese who executed his mother, finds himself drawn into a resistance group and confronted with choices that could lead to freedom--or death.",,Young Adult
Mapping the bones,"Yolen, Jane.",9780399257780,F,FIC,"Concentration camps -- Fiction. -- Poland | Historical fiction. | Holocaust, 1939-1945 -- Fiction. | Jews -- Fiction. -- Poland | Siblings -- Fiction. | Twins -- Fiction.","In Poland in the 1940s, twins Chaim and Gittel rely on each other to endure life in a ghetto, escape through forests, and the horrors of a concentration camp.",,Young Adult
"Nice try, Jane Sinner","Oelke, Lianne.",9780544867857,F,FIC,Colleges and universities -- Fiction. | Dropouts -- Fiction. | Internet television -- Fiction. | Reality television programs -- Fiction.,"""Jane Sinner, a 17-year-old dropout, sets out to redefine herself through a series of schemes and stunts, including participating in a low-budget reality TV show at her local community college""--",,Young Adult
The night diary,"Hiranandani, Veera.",9780525552949 (pbk),F,FIC,Family life -- Fiction. -- India | Hindus -- Fiction. | Historical fiction. | Muslims -- Fiction. | Refugees -- Fiction.,"Shy twelve-year-old Nisha, forced to flee her home with her Hindu family during the 1947 partition of India, tries to find her voice and make sense of the world falling apart around her by writing to her deceased Muslim mother in the pages of her diary.",,3.8.
Not if I save you first,"Carter, Ally.",9781338134148,F,FIC,Father-daughter relationship -- Fiction. | Forgiveness -- Fiction. | Friendship -- Fiction. | Kidnapping -- Fiction. | Rescue work -- Fiction. | Wilderness survival -- Fiction.,"Six years ago Maddie lived in Washington D.C. with her father, a Secret Service agent assigned to the President's family, and her best friend was Logan, the President's son; but after her father was wounded in an attempted kidnapping the two of them moved to a remote cabin in Alaska and Logan never replied to her letters--but now he has suddenly turned up on her doorstep, and, while she has no intention of forgiving him for his silence, she soon realizes that first she has to save him from the winter wilderness and the men who are pursuing him.",,Young Adult
Now,"Gleitzman, Morris.",9780805093780,F,FIC,Grandfathers -- Fiction. | Holocaust survivors -- Fiction. | Jews -- Fiction. -- Australia | Separation (Psychology) -- Fiction. | Wildfires -- Fiction.,"While her physician-parents are working in Africa, eleven-year-old Zelda is living with her grandfather, eighty-year-old Holocaust-survivor Felix Salinger, in Australia, when a disaster leads them both to deal with unresolved feelings about the first Zelda, Felix's childhood friend.",,4.0.
Once,"Gleitzman, Morris.",9780312653040 (pbk),F,FIC,"Historical fiction. | Holocaust, 1933-1945 -- Fiction. -- Poland | Jews -- Fiction. -- Poland | Orphans -- Fiction. | Separation (Psychology) -- Fiction. | Survival after airplane accidents, shipwrecks, etc. -- Fiction. | World War, 1939-1945 -- Fiction. -- Poland","After living in an Catholic orphanage for nearly four years, a naive Jewish boy runs away and embarks on a journey across Nazi-occupied Poland to find his parents.",,Young Adult
Palace of dreams,"Epstein, Adam Jay.",9780062120298,F,FIC,Animals -- Fiction. | Blessing and cursing -- Fiction. | Fantasy fiction. | Magic -- Fiction.,"""Aldwyn, Skylar, and Gilbert must embark on a journey to clear their names and save a Vastia after a necklace they give to Queen Loranella puts her under a dangerous curse""--Provided by publisher.",Familiars,5.5.
The poet X,"Acevedo, Elizabeth.",9780062662804,F,FIC,Poets -- Fiction.,"Xiomara Batista feels unheard and unable to hide in her Harlem neighborhood. Ever since her body grew into curves, she has learned to let her fists and her fierceness do the talking.",,Young Adult
A possibility of whales,"Rivers, Karen 1970-",9781616207236,F,FIC,Abandoned children -- Fiction. | Mother-daughter relationship -- Fiction. | Whales -- Fiction.,"The story of a twelve-year-old girl named Nat, who both loves and hates a mother that abandoned her when she was a baby, and who her father will not talk about. Nat's journey of self-discovery is aided by her friends, famous actor father, and a chance encounter with a whale as she learns the true meaning of family.",,5.6.
Rebound,"Alexander, Kwame.",9780544868137,F,FIC,African Americans -- Fiction. | Basketball -- Fiction. | Family -- Fiction. | Graphic novels. | Historical fiction.,"In the summer of 1988, twelve-year-old Chuck Bell is sent to stay with his grandparents, where he discovers jazz and basketball and learns more about his family's past.",,4.0.
Small things,"Tregonning, Mel 1983-2014.",9781772780420,E,FIC,Depression (Psychology) -- Fiction. | Loneliness -- Fiction. | Stories without words.,"""[A story without words in which] a young [boy] struggle[s] with anxiety is represented by swarms of tiny creatures that follow and gnaw away at him. As his schoolwork and social interactions suffer, he feels more alone and out of control. He ultimately begins to overcome his isolation when he opens up to his sister and learns he is not the only one beset with worries"" -- Provided by Publisher.",,3-6
Strange star,"Carroll, Emma 1970-",9780399556050,F,FIC,Adoption -- Fiction. | Historical fiction. | Horror fiction. | Household employees -- Fiction. | Storytelling -- Fiction.,"""Told primarily by servant Felix, a former slave, Lord Byron and friends gather to tell ghost stories on a stormy night in 1816 Switzerland, but a scarred girl arrives with her own dark and dangerous tale""--Provided by publisher.",,4.3.
Supergifted,"Korman, Gordon.",9780062563842,F,FIC,Gifted children -- Fiction. | Human behavior -- Fiction. | Humorous fiction. | Middle schools -- Fiction. | Robots -- Fiction. | School stories.,"""Donovan Curtis has never been what anyone would call 'gifted.' But his genius friend Noah Youkilis is actually supergifted, with one of the highest IQs around. After years at the Academy for Scholastic Distinction, all Noah dreams of is the opportunity to fail if he wants to. And he's landed in the perfect place to do it--Donovan's school. Almost immediately, Noah finds himself on the wrong side of cheerleading captain Megan Mercury and alpha jock Hash 'Hashtag' Taggart. Sticking up for Noah lands Donovan in the middle of a huge feud with Hashtag. He's told to stay away from the sports star--or else. That should be the end of it, but when a freak incident suddenly makes Donovan a hero, he can't tell anyone about it since Hashtag is involved. So Noah steps in and becomes 'Superkid'""--Jacket flap.",,5.4.
Turtles all the way down,"Green, John 1977-",9780525555360,F,FIC,Friendship -- Fiction. | Mental illness -- Fiction. | Missing persons -- Fiction. | Teenage girls -- Fiction.,Aza Holmes is a young woman navigating daily existence within the ever-tightening spiral of her own thoughts.,,Young Adult
What to say next,"Buxbaum, Julie.",9780553535686,F,FIC,Friendship -- Fiction. | Grief -- Fiction. | High schools -- Fiction. | Romance fiction. | School stories.,"When an unlikely friendship is sparked between relatively popular Kit Lowell and socially isolated David Drucker, Kit asks David for his help figuring out the how and why of her father's tragic car accident.",,Young Adult
Written in the stars,"Saeed, Aisha.",9780399171703,F,FIC,Dating (Social customs) -- Fiction. | Love stories. | Marriage -- Fiction. | Pakistani Americans -- Fiction. | Romance fiction.,"""Naila's vacation to visit relatives in Pakistan turns into a nightmare when she discovers her parents want to force her to marry a man she's never met""--Provided by publisher.",,Young Adult
The sky at our feet,"Hashimi, Nadia.",9780062421937,F,FIC,Afghan Americans -- Fiction. | Immigrants -- Fiction.,"Jason has just learned that his Afghan mother has been living illegally in the United States since his father was killed in Afghanistan. Although Jason was born in the US, it's hard to feel American now when he's terrified that his mother will be discovered and that they will be separated",,4.4.
To kill a kingdom,"Christo, Alexandra.",9781250112682,F,FIC,Fantasy fiction. | Mermaids and mermen -- Fiction.,"""Lira, a famous siren, must prove herself by stealing the heart of the man, a prince, threatening their race""--Provided by publisher.",,Young Adult
What the night sings  a novel,"Stamper, Vesper.",9781524700386,F,FIC,"Holocaust, 1939-1945 -- Fiction. | Jews -- Fiction. | Refugees -- Fiction. | Survival skills -- Fiction.","Liberated from Bergen-Belsen Concentration Camp in 1945, sixteen-year-old Gerta tries to make a new life for herself, aided by Lev, a fellow survivor, and Michah, who helps Jews reach Palestine.",,Young Adult
Al Capone throws me a curve,"Choldenko, Gennifer 1957-",9781101938133,F,FIC,Autism -- Fiction. | Siblings -- Fiction.,"""Moose has his hands full during the summer of 1936 watching his autistic sister, Natalie, and the warden's daughter, Piper, and trying to get on a baseball team by proving he knows Al Capone""--Provided by publisher.",,4.2.
The last,"Applegate, Katherine.",9780062335524,F,FIC,Endangered species -- Fiction. | Imaginary places -- Fiction. | Quests (Expeditions) -- Fiction.,"Byx, the last of the dairnes, sets out to find others of her kind and along the way meets new allies. The group soon uncovers a secret that threatens the lives of every creature in their world.",Endling,5.0.
The Forest Queen,"Cornwell, Betsy.",9780544888197,F,FIC,Gender role -- Fiction. | Middle Ages -- Fiction. | Nobility -- Fiction. | Romance fiction. | Thieves -- Fiction.,"A retelling of Robin Hood in which Lady Silviana of Loughsley joins her childhood friend Bird, Little Jane, Mae Tuck, and others to become an outlaw fighting for social justice against her brother John, the Sheriff.",,Young Adult
Ghost boys,"Rhodes, Jewell Parker.",9780316262262 (pbk),F,FIC,African Americans -- Fiction. | Death -- Fiction. | Family life -- Fiction. -- Chicago (Ill.) | Racism -- Fiction.,"""After seventh-grader Jerome is shot by a white police officer, he observes the aftermath of his death and meets the ghosts of other fallen black boys including historical figure Emmett Till""--Provided by publisher.",,5.9.
Girl made of stars,"Blake, Ashley Herring.",9781328778239,F,FIC,Bisexuality -- Fiction. | Rape -- Fiction. | Sex crimes -- Fiction. | Siblings -- Fiction. | Twins -- Fiction.,"When Mara's twin brother Owen is accused of rape by her friend Hannah, Mara is forced to confront her feelings about her family, her sense of right and wrong, a trauma from her past, and the future with her ex-girlfriend, Charlie.",,Young Adult
